fn,Lx,Lr,Bx,Br,dtd,M,dx,dt,v,R,h,h0,htip,lzone,tail,lzone0,xm0,phia,phib,D,surftens,phi0,Nt,prin,prin0,xlim,xdel
1,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.01,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
2,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.009,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
3,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.008,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
4,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.007,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
5,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.006,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
6,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.005,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
7,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.004,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
8,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.003,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
9,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.002,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
10,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.001,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
11,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.0009,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
12,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.0008,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
13,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.00075,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
14,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.0005,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
15,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.00025,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
16,64.0,4.0,32.0,32.0,0.01,31.25,4.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,0.0,1.0,4.0,0.0001,0.05,1.0e7,40000.0,4.0e6,512.0,512.0
