fn,Lx,Lr,Bx,Br,dtd,MS,dx,dt,v,R,h,h0,htip,lzone,tail,lzone0,xm0,rho,tau,phia,phib,D,surftens,phi0,Nt,prin,prin0,xlim,xdel
1,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,150.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
2,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,140.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
3,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,130.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
4,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,120.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
5,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,100.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
6,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.002,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
7,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,150.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
8,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,140.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
9,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,130.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
10,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,120.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
11,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,100.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
12,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0025,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
13,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,150.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
14,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,140.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
15,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,130.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
16,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,120.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
17,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,100.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
18,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,80.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.003,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
19,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,150.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0035,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
20,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,140.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0035,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
21,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,130.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0035,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
22,64.0,4.0,64.0,64.0,0.1,0.003125,2.0,0.0001,1.0,12.0,0.4,0.0,0.0,120.0,0.0,0.0,2048.0,1.0,0.9,0.0,1.0,8.0,0.0035,0.05,1.2e7,40000.0,8.0e6,1024.0,1024.0
