fn,Lx,Lr,Bx,Br,dtd,MS,dx,dt,v,kr,R,h,h0,htip,lzone,tail,lzone0,xm0,rho,tau,phia,phib,D,surftens,phi0,Nt,prin,prin0,xlim,xdel
1,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.02,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
2,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.021,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
3,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.022,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
4,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.023,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
5,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.024,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
6,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.025,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
7,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.026,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
8,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.027,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
9,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.028,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
10,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.029,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.1,4.0e6,5000.0,3.0e6,512.0,512.0
11,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.02,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
12,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.021,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
13,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.022,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
14,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.023,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
15,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.024,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
16,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.025,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
17,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.026,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
18,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.027,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
19,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.028,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
20,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.029,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.11,4.0e6,5000.0,3.0e6,512.0,512.0
21,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.02,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
22,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.021,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
23,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.022,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
24,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.023,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
25,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.024,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
26,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.025,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
27,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.026,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
28,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.027,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
29,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.028,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
30,64.0,4.0,32.0,32.0,0.05,0.03125,4.0,0.0001,4.0,0.029,12.0,0.4,0.0,0.0,80.0,0.0,0.0,1024.0,1.0,0.9,0.0,1.0,4.0,0.001,0.12,4.0e6,5000.0,3.0e6,512.0,512.0
