fn,Lx,Lr,Bx,Br,dtd,MS,dx,dt,R,h,rho,tau,phia,phib,D,surftens,phi0,Nt,prin
1,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.015,0.05,4.0e6,20000.0
2,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.014,0.05,4.0e6,20000.0
3,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.013,0.05,4.0e6,20000.0
4,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.012,0.05,4.0e6,20000.0
5,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.011,0.05,4.0e6,20000.0
6,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.01,0.05,4.0e6,20000.0
7,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.009,0.05,4.0e6,20000.0
8,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.008,0.05,4.0e6,20000.0
9,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.007,0.05,4.0e6,20000.0
10,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.006,0.05,4.0e6,20000.0
11,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.005,0.05,4.0e6,20000.0
12,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.004,0.05,4.0e6,20000.0
13,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.003,0.05,4.0e6,20000.0
14,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.002,0.05,4.0e6,20000.0
15,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,1.0,0.9,0.0,1.0,4.0,0.001,0.05,4.0e6,20000.0
